genre,movie title,rating
unknown,unknown,3.444444444
unknown,Good Morning (1971),1
Action,Star Wars (1977),4.358490566
Action,"Godfather, The (1972)",4.283292978
Action,Raiders of the Lost Ark (1981),4.252380952
Adventure,Star Kid (1997),5
Adventure,Star Wars (1977),4.358490566
Adventure,Raiders of the Lost Ark (1981),4.252380952
Animation,"Close Shave, A (1995)",4.491071429
Animation,"Wrong Trousers, The (1993)",4.466101695
Animation,Wallace & Gromit: The Best of Aardman Animation (1996),4.447761194
Children's,Star Kid (1997),5
Children's,"Wizard of Oz, The (1939)",4.077235772
Children's,Babe (1995),3.99543379
Comedy,Santa with Muscles (1996),5
Comedy,"Close Shave, A (1995)",4.491071429
Comedy,"Wrong Trousers, The (1993)",4.466101695
Crime,They Made Me a Criminal (1939),5
Crime,"Usual Suspects, The (1995)",4.38576779
Crime,"Letter From Death Row, A (1998)",4.333333333
Documentary,"Great Day in Harlem, A (1994)",5
Documentary,Marlene Dietrich: Shadow and Light (1996) ,5
Documentary,Everest (1998),4.5
Drama,Aiqing wansui (1994),5
Drama,Entertaining Angels: The Dorothy Day Story (1996),5
Drama,Prefontaine (1997),5
Fantasy,Star Kid (1997),5
Fantasy,E.T. the Extra-Terrestrial (1982),3.833333333
Fantasy,Heavenly Creatures (1994),3.671428571
Film-Noir,"Manchurian Candidate, The (1962)",4.259541985
Film-Noir,Crossfire (1947),4.25
Film-Noir,"Maltese Falcon, The (1941)",4.210144928
Horror,Psycho (1960),4.10041841
Horror,Alien (1979),4.034364261
Horror,Young Frankenstein (1974),3.945
Musical,"Wizard of Oz, The (1939)",4.077235772
Musical,Top Hat (1935),4.047619048
Musical,"Damsel in Distress, A (1937)",4
Mystery,Rear Window (1954),4.387559809
Mystery,"Third Man, The (1949)",4.333333333
Mystery,Vertigo (1958),4.251396648
Romance,Casablanca (1942),4.456790123
Romance,Star Wars (1977),4.358490566
Romance,Titanic (1997),4.245714286
Sci-Fi,Star Kid (1997),5
Sci-Fi,Star Wars (1977),4.358490566
Sci-Fi,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.25257732
Thriller,"Close Shave, A (1995)",4.491071429
Thriller,Rear Window (1954),4.387559809
Thriller,"Usual Suspects, The (1995)",4.38576779
War,Schindler's List (1993),4.466442953
War,Casablanca (1942),4.456790123
War,Star Wars (1977),4.358490566
Western,High Noon (1952),4.102272727
Western,"Wild Bunch, The (1969)",4.023255814
Western,Butch Cassidy and the Sundance Kid (1969),3.949074074
