occupation,genre,movie title,rating
administrator,Action,Congo (1995),5
administrator,Action,"Magnificent Seven, The (1954)",4.583333333
administrator,Action,"Princess Bride, The (1987)",4.565217391
administrator,Adventure,"Big Blue, The (Grand bleu, Le) (1988)",5
administrator,Adventure,Congo (1995),5
administrator,Adventure,"Princess Bride, The (1987)",4.565217391
administrator,Animation,"Close Shave, A (1995)",5
administrator,Animation,"Grand Day Out, A (1992)",4.666666667
administrator,Animation,"Wrong Trousers, The (1993)",4.6
administrator,Children's,Bogus (1996),5
administrator,Children's,FairyTale: A True Story (1997),5
administrator,Children's,"NeverEnding Story III, The (1994)",5
administrator,Comedy,A Chef in Love (1996),5
administrator,Comedy,Braindead (1992),5
administrator,Comedy,Brassed Off (1996),5
administrator,Crime,Once Were Warriors (1994),5
administrator,Crime,Amateur (1994),4.5
administrator,Crime,Fargo (1996),4.444444444
administrator,Documentary,Microcosmos: Le peuple de l'herbe (1996),5
administrator,Documentary,Paradise Lost: The Child Murders at Robin Hood Hills (1996),5
administrator,Documentary,Unzipped (1995),5
administrator,Drama,Aparajito (1956),5
administrator,Drama,"Blue Angel, The (Blaue Engel, Der) (1930)",5
administrator,Drama,Bogus (1996),5
administrator,Fantasy,Bogus (1996),5
administrator,Fantasy,FairyTale: A True Story (1997),5
administrator,Fantasy,"NeverEnding Story III, The (1994)",5
administrator,Film-Noir,L.A. Confidential (1997),4.4
administrator,Film-Noir,"Manchurian Candidate, The (1962)",4.266666667
administrator,Film-Noir,Notorious (1946),4.166666667
administrator,Horror,Audrey Rose (1977),5
administrator,Horror,Braindead (1992),5
administrator,Horror,Psycho (1960),4.263157895
administrator,Musical,"Gay Divorcee, The (1934)",5
administrator,Musical,"Inspector General, The (1949)",5
administrator,Musical,Selena (1997),5
administrator,Mystery,Boxing Helena (1993),5
administrator,Mystery,Congo (1995),5
administrator,Mystery,Gaslight (1944),5
administrator,Romance,"Big Blue, The (Grand bleu, Le) (1988)",5
administrator,Romance,Boxing Helena (1993),5
administrator,Romance,Brassed Off (1996),5
administrator,Sci-Fi,Congo (1995),5
administrator,Sci-Fi,"Visitors, The (Visiteurs, Les) (1993)",5
administrator,Sci-Fi,"Day the Earth Stood Still, The (1951)",4.714285714
