occupation,movie title,rating
administrator,When We Were Kings (1996),5.0
administrator,"Winter Guest, The (1997)",5.0
administrator,"World of Apu, The (Apur Sansar) (1959)",5.0
artist,"39 Steps, The (1935)",5.0
artist,"Adventures of Pinocchio, The (1996)",5.0
artist,Anne Frank Remembered (1995),5.0
doctor,Kiss the Girls (1997),5.0
doctor,Kull the Conqueror (1997),5.0
doctor,Leave It to Beaver (1997),5.0
educator,Incognito (1997),5.0
educator,Infinity (1996),5.0
educator,Kaspar Hauser (1993),5.0
engineer,Charade (1963),5.0
engineer,Selena (1997),5.0
engineer,Shadow Conspiracy (1997),5.0
entertainment,"Band Wagon, The (1953)",5.0
entertainment,Once Upon a Time in the West (1969),5.0
entertainment,Some Folks Call It a Sling Blade (1993),5.0
executive,To Catch a Thief (1955),5.0
executive,To Die For (1995),5.0
executive,Winnie the Pooh and the Blustery Day (1968),5.0
healthcare,Angel Baby (1995),5.0
healthcare,Another Stakeout (1993),5.0
healthcare,Best Men (1997),5.0
homemaker,Deceiver (1997),5.0
homemaker,Everyone Says I Love You (1996),5.0
homemaker,Fallen (1998),5.0
lawyer,"Thin Blue Line, The (1988)",5.0
lawyer,Up in Smoke (1978),5.0
lawyer,"Usual Suspects, The (1995)",5.0
librarian,Black Beauty (1994),5.0
librarian,Cabin Boy (1994),5.0
librarian,Cats Don't Dance (1997),5.0
marketing,Brassed Off (1996),5.0
marketing,I.Q. (1994),5.0
marketing,In the Line of Duty 2 (1987),5.0
none,Gattaca (1997),5.0
none,Just Cause (1995),5.0
none,Killer (Bulletproof Heart) (1994),5.0
other,Ma vie en rose (My Life in Pink) (1997),5.0
other,Microcosmos: Le peuple de l'herbe (1996),5.0
other,Mina Tannenbaum (1994),5.0
programmer,Old Yeller (1957),5.0
programmer,Paradise Lost: The Child Murders at Robin Hood Hills (1996),5.0
programmer,Santa with Muscles (1996),5.0
retired,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",5.0
retired,"Paris, Texas (1984)",5.0
retired,Starship Troopers (1997),5.0
salesman,Jurassic Park (1993),5.0
salesman,Sophie's Choice (1982),5.0
salesman,"Sound of Music, The (1965)",5.0
scientist,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",5.0
scientist,"Hudsucker Proxy, The (1994)",5.0
scientist,Rosencrantz and Guildenstern Are Dead (1990),5.0
student,Critical Care (1997),5.0
student,Walking and Talking (1996),5.0
student,"Wedding Gift, The (1994)",5.0
technician,"Assignment, The (1997)",5.0
technician,Basquiat (1996),5.0
technician,Beautiful Thing (1996),5.0
writer,Faster Pussycat! Kill! Kill! (1965),5.0
writer,Faust (1994),5.0
writer,"Fille seule, La (A Single Girl) (1995)",5.0
