occupation,genre,movie title,rating
administrator,Action,Congo (1995),5.0
administrator,Action,"Magnificent Seven, The (1954)",4.583333333333333
administrator,Action,"Princess Bride, The (1987)",4.565217391304348
administrator,Adventure,"Big Blue, The (Grand bleu, Le) (1988)",5.0
administrator,Adventure,Congo (1995),5.0
administrator,Adventure,"Princess Bride, The (1987)",4.565217391304348
administrator,Animation,"Close Shave, A (1995)",5.0
administrator,Animation,"Grand Day Out, A (1992)",4.666666666666667
administrator,Animation,"Wrong Trousers, The (1993)",4.6
administrator,Children's,Bogus (1996),5.0
administrator,Children's,FairyTale: A True Story (1997),5.0
administrator,Children's,"NeverEnding Story III, The (1994)",5.0
administrator,Comedy,A Chef in Love (1996),5.0
administrator,Comedy,Braindead (1992),5.0
administrator,Comedy,Brassed Off (1996),5.0
administrator,Crime,Once Were Warriors (1994),5.0
administrator,Crime,Amateur (1994),4.5
administrator,Crime,Fargo (1996),4.444444444444445
administrator,Documentary,Microcosmos: Le peuple de l'herbe (1996),5.0
administrator,Documentary,Paradise Lost: The Child Murders at Robin Hood Hills (1996),5.0
administrator,Documentary,Unzipped (1995),5.0
administrator,Drama,Aparajito (1956),5.0
administrator,Drama,"Blue Angel, The (Blaue Engel, Der) (1930)",5.0
administrator,Drama,Bogus (1996),5.0
administrator,Fantasy,Bogus (1996),5.0
administrator,Fantasy,FairyTale: A True Story (1997),5.0
administrator,Fantasy,"NeverEnding Story III, The (1994)",5.0
administrator,Film-Noir,L.A. Confidential (1997),4.4
administrator,Film-Noir,"Manchurian Candidate, The (1962)",4.266666666666667
administrator,Film-Noir,Notorious (1946),4.166666666666667
administrator,Horror,Audrey Rose (1977),5.0
administrator,Horror,Braindead (1992),5.0
administrator,Horror,Psycho (1960),4.2631578947368425
administrator,Musical,"Gay Divorcee, The (1934)",5.0
administrator,Musical,"Inspector General, The (1949)",5.0
administrator,Musical,Selena (1997),5.0
administrator,Mystery,Boxing Helena (1993),5.0
administrator,Mystery,Congo (1995),5.0
administrator,Mystery,Gaslight (1944),5.0
administrator,Romance,"Big Blue, The (Grand bleu, Le) (1988)",5.0
administrator,Romance,Boxing Helena (1993),5.0
administrator,Romance,Brassed Off (1996),5.0
administrator,Sci-Fi,Congo (1995),5.0
administrator,Sci-Fi,"Visitors, The (Visiteurs, Les) (1993)",5.0
administrator,Sci-Fi,"Day the Earth Stood Still, The (1951)",4.714285714285714
administrator,Thriller,"Assignment, The (1997)",5.0
administrator,Thriller,Boxing Helena (1993),5.0
administrator,Thriller,"Close Shave, A (1995)",5.0
administrator,War,Paradise Road (1997),5.0
administrator,War,Stalingrad (1993),5.0
administrator,War,Welcome To Sarajevo (1997),4.666666666666667
administrator,Western,"Wild Bunch, The (1969)",4.666666666666667
administrator,Western,"Magnificent Seven, The (1954)",4.583333333333333
administrator,Western,High Noon (1952),4.545454545454546
artist,Action,"Adventures of Robin Hood, The (1938)",5.0
artist,Action,Alien 3 (1992),5.0
artist,Action,Blues Brothers 2000 (1998),5.0
artist,Adventure,"Adventures of Pinocchio, The (1996)",5.0
artist,Adventure,"Adventures of Robin Hood, The (1938)",5.0
artist,Adventure,Evil Dead II (1987),5.0
artist,Animation,"Close Shave, A (1995)",5.0
artist,Animation,Ghost in the Shell (Kokaku kidotai) (1995),5.0
artist,Animation,"Wrong Trousers, The (1993)",5.0
artist,Children's,"Adventures of Pinocchio, The (1996)",5.0
artist,Children's,Matilda (1996),5.0
artist,Children's,Star Kid (1997),5.0
artist,Comedy,Bananas (1971),5.0
artist,Comedy,Billy Madison (1995),5.0
artist,Comedy,Blues Brothers 2000 (1998),5.0
artist,Crime,Gridlock'd (1997),5.0
artist,Crime,Touch of Evil (1958),5.0
artist,Crime,U Turn (1997),5.0
artist,Documentary,Anne Frank Remembered (1995),5.0
artist,Documentary,"Fast, Cheap & Out of Control (1997)",5.0
artist,Documentary,"Haunted World of Edward D. Wood Jr., The (1995)",5.0
artist,Drama,Bent (1997),5.0
artist,Drama,Bread and Chocolate (Pane e cioccolata) (1973),5.0
artist,Drama,Burnt By the Sun (1994),5.0
artist,Fantasy,Heavenly Creatures (1994),5.0
artist,Fantasy,Star Kid (1997),5.0
artist,Fantasy,E.T. the Extra-Terrestrial (1982),4.571428571428571
artist,Film-Noir,Sunset Blvd. (1950),5.0
artist,Film-Noir,Touch of Evil (1958),5.0
artist,Film-Noir,Blade Runner (1982),4.8
artist,Horror,Alien 3 (1992),5.0
artist,Horror,Body Snatchers (1993),5.0
artist,Horror,Evil Dead II (1987),5.0
artist,Musical,Blues Brothers 2000 (1998),5.0
artist,Musical,Top Hat (1935),5.0
artist,Musical,My Fair Lady (1964),4.333333333333333
artist,Mystery,Dial M for Murder (1954),5.0
artist,Mystery,U Turn (1997),5.0
artist,Mystery,"Thin Man, The (1934)",4.75
artist,Romance,Cyrano de Bergerac (1990),5.0
artist,Romance,Farewell My Concubine (1993),5.0
artist,Romance,Ninotchka (1939),5.0
artist,Sci-Fi,Alien 3 (1992),5.0
artist,Sci-Fi,Body Snatchers (1993),5.0
artist,Sci-Fi,Delicatessen (1991),5.0
artist,Thriller,"39 Steps, The (1935)",5.0
artist,Thriller,Alien 3 (1992),5.0
artist,Thriller,Body Snatchers (1993),5.0
artist,War,Bananas (1971),5.0
artist,War,Bent (1997),5.0
artist,War,"Deer Hunter, The (1978)",5.0
artist,Western,High Noon (1952),4.666666666666667
artist,Western,"Good, The Bad and The Ugly, The (1966)",4.5
artist,Western,"Magnificent Seven, The (1954)",4.5
doctor,Action,Alien (1979),5.0
doctor,Action,Braveheart (1995),5.0
doctor,Action,"Devil's Own, The (1997)",5.0
doctor,Adventure,"Empire Strikes Back, The (1980)",5.0
doctor,Adventure,"Great Escape, The (1963)",5.0
doctor,Adventure,Kull the Conqueror (1997),5.0
doctor,Animation,Cats Don't Dance (1997),5.0
doctor,Animation,Beauty and the Beast (1991),4.0
doctor,Animation,Cinderella (1950),4.0
doctor,Children's,Cats Don't Dance (1997),5.0
doctor,Children's,"Wizard of Oz, The (1939)",5.0
doctor,Children's,Willy Wonka and the Chocolate Factory (1971),4.333333333333333
doctor,Comedy,Annie Hall (1977),5.0
doctor,Comedy,Bringing Up Baby (1938),5.0
doctor,Comedy,Cinema Paradiso (1988),5.0
doctor,Crime,"Devil's Advocate, The (1997)",5.0
doctor,Crime,"Godfather: Part II, The (1974)",5.0
doctor,Crime,Kiss the Girls (1997),5.0
doctor,Documentary,Ayn Rand: A Sense of Life (1997),5.0
doctor,Documentary,Hoop Dreams (1994),4.0
doctor,Documentary,Looking for Richard (1996),4.0
doctor,Drama,Anna Karenina (1997),5.0
doctor,Drama,Braveheart (1995),5.0
doctor,Drama,Burnt By the Sun (1994),5.0
doctor,Fantasy,FairyTale: A True Story (1997),4.0
doctor,Fantasy,Dragonheart (1996),3.0
doctor,Fantasy,E.T. the Extra-Terrestrial (1982),3.0
doctor,Film-Noir,Blade Runner (1982),5.0
doctor,Film-Noir,"Grifters, The (1990)",4.0
doctor,Film-Noir,L.A. Confidential (1997),4.0
doctor,Horror,Alien (1979),5.0
doctor,Horror,"Devil's Advocate, The (1997)",5.0
doctor,Horror,I Know What You Did Last Summer (1997),5.0
doctor,Musical,Cats Don't Dance (1997),5.0
doctor,Musical,"Misérables, Les (1995)",5.0
